,pincode,RURAL,URBAN
682,566117.0,1,0
683,585202.0,1,0
684,566123.0,1,0
685,590005.0,1,1
686,,0,0
687,562311.0,1,0
688,574203.0,1,0
689,570048.0,1,0
690,517429.0,1,0
691,585214.0,1,0
692,515201.0,1,1
693,635202.0,1,1
694,500026.0,1,0
695,517247.0,1,2
696,556009.0,1,1
697,721453.0,1,0
698,570010.0,1,2
699,591254.0,1,0
700,562001.0,1,0
701,587102.0,1,0
702,570058.0,1,5
703,561262.0,1,3
704,460074.0,1,0
705,587312.0,1,0
706,591113.0,1,1
707,573218.0,1,0
708,561320.0,1,0
709,500002.0,1,0
710,607201.0,1,0
711,651204.0,1,0
712,572103.0,1,6
713,590003.0,1,3
714,556214.0,1,0
715,563218.0,1,0
716,562323.0,1,0
717,609604.0,1,0
718,523110.0,1,0
719,502114.0,1,0
720,635126.0,1,1
721,570068.0,1,7
722,576230.0,1,1
723,244715.0,1,0
724,569967.0,1,0
725,572116.0,1,3
726,561249.0,1,1
727,560120.0,2,4
728,577223.0,1,0
729,565123.0,1,1
730,635122.0,1,0
731,572220.0,1,2
732,460091.0,1,1
733,577112.0,1,0
734,343012.0,1,0
735,563148.0,1,0
736,573131.0,1,3
737,572141.0,1,0
738,560990.0,1,0
739,591212.0,1,0
740,672110.0,1,0
741,534260.0,0,1
742,571430.0,0,8
743,635117.0,0,2
744,560968.0,0,1
745,563119.0,0,2
746,500078.0,0,3
747,566043.0,0,2
748,540049.0,0,1
749,500028.0,0,2
750,550053.0,0,1
751,400614.0,0,1
752,573132.0,0,1
753,577004.0,0,8
754,600056.0,0,1
755,517569.0,0,1
756,572162.0,0,1
757,500041.0,0,1
758,562003.0,0,1
759,582114.0,0,1
760,575002.0,0,3
761,574154.0,0,1
762,570029.0,0,3
763,576224.0,0,1
764,560552.0,0,1
765,568039.0,0,1
766,506100.0,0,1
767,577204.0,0,5
768,586101.0,0,2
769,600079.0,0,1
770,577536.0,0,1
771,574285.0,0,1
772,535004.0,0,1
773,562517.0,0,2
774,460047.0,0,1
775,560999.0,0,2
776,574241.0,0,1
777,400072.0,0,2
778,566060.0,0,3
779,606904.0,0,1
780,506035.0,0,1
781,577502.0,0,2
782,575014.0,0,2
783,650066.0,0,1
784,734004.0,0,1
785,695501.0,0,1
786,600076.0,0,1
787,575003.0,0,4
788,411028.0,0,1
789,110018.0,0,1
790,500004.0,0,1
791,660064.0,0,1
792,560929.0,0,1
793,570021.0,0,3
794,560983.0,0,1
795,341025.0,0,1
796,571404.0,0,4
797,584101.0,0,3
798,576232.0,0,1
799,637002.0,0,1
800,570012.0,0,3
801,570069.0,0,2
802,500019.0,0,4
803,605701.0,0,1
804,586004.0,0,1
805,530035.0,0,2
806,700159.0,0,1
807,573220.0,0,1
808,606709.0,0,2
809,712501.0,0,1
810,577601.0,0,3
811,590069.0,0,1
812,635108.0,0,1
813,581350.0,0,1
814,583218.0,0,1
815,570078.0,0,4
816,450079.0,0,1
817,570091.0,0,8
818,517123.0,0,1
819,571501.0,0,1
820,577521.0,0,1
821,563110.0,0,1
822,560958.0,0,2
823,625003.0,0,1
824,571446.0,0,3
825,573211.0,0,4
826,600034.0,0,1
827,517408.0,0,2
828,572225.0,0,1
829,521213.0,0,1
830,570071.0,0,1
831,563005.0,0,2
832,570061.0,0,3
833,587204.0,0,1
834,550004.0,0,1
835,566058.0,0,4
836,575025.0,0,1
837,400043.0,0,1
838,605510.0,0,1
839,562146.0,0,1
840,566077.0,0,2
841,581358.0,0,1
842,751010.0,0,1
843,581120.0,0,1
844,590100.0,0,1
845,570045.0,0,3
846,580085.0,0,2
847,500032.0,0,1
848,570087.0,0,2
849,812001.0,0,1
850,221502.0,0,1
851,360068.0,0,2
852,550026.0,0,1
853,560653.0,0,1
854,570096.0,0,2
855,530094.0,0,1
856,550029.0,0,3
857,560985.0,0,1
858,580026.0,0,3
859,500009.0,0,1
860,752054.0,0,1
861,569009.0,0,3
862,566056.0,0,3
863,652129.0,0,1
864,577205.0,0,3
865,562152.0,0,3
866,566089.0,0,2
867,500061.0,0,2
868,561000.0,0,1
869,516193.0,0,1
870,570040.0,0,3
871,562184.0,0,1
872,580079.0,0,1
873,500099.0,0,1
874,636808.0,0,1
875,560883.0,0,1
876,550096.0,0,2
877,566003.0,0,1
878,566034.0,0,1
879,566021.0,0,2
880,550087.0,0,1
881,570026.0,0,6
882,566091.0,0,2
883,566067.0,0,1
884,550083.0,0,1
885,577138.0,0,1
886,400095.0,0,1
887,566072.0,0,3
888,571604.0,0,2
889,560560.0,0,4
890,570011.0,0,4
891,577533.0,0,2
892,560230.0,0,2
893,636701.0,0,1
894,540077.0,0,1
895,585216.0,0,2
896,650033.0,0,1
897,515291.0,0,1
898,562419.0,0,3
899,560946.0,0,1
900,660086.0,0,1
901,560210.0,0,2
902,583131.0,0,2
903,566049.0,0,1
904,562161.0,0,5
905,570033.0,0,1
906,576000.0,0,1
907,600107.0,0,2
908,566063.0,0,1
909,660097.0,0,1
910,244001.0,0,1
911,560916.0,0,1
912,411015.0,0,1
913,570093.0,0,1
914,562004.0,0,1
915,570090.0,0,1
916,577401.0,0,8
917,569097.0,0,1
918,635751.0,0,2
919,580028.0,0,1
920,570023.0,0,12
921,565006.0,0,1
922,560975.0,0,1
923,577528.0,0,3
924,577133.0,0,1
925,574116.0,0,1
926,678534.0,0,1
927,570028.0,0,6
928,568036.0,0,1
929,580030.0,0,2
930,625516.0,0,1
931,520067.0,0,1
932,571189.0,0,1
933,500062.0,0,4
934,530076.0,0,1
935,581359.0,0,1
936,650027.0,0,1
937,650110.0,0,1
938,400063.0,0,1
939,560861.0,0,1
940,568007.0,0,1
941,562201.0,0,1
942,576219.0,0,1
943,580077.0,0,1
944,586217.0,0,1
945,580023.0,0,3
946,560150.0,0,4
947,570050.0,0,1
948,566036.0,0,1
949,590064.0,0,2
950,650060.0,0,1
951,650062.0,0,1
952,500007.0,0,1
953,581560.0,0,1
954,564921.0,0,1
955,566004.0,0,1
956,560405.0,0,2
957,760103.0,0,1
958,570070.0,0,1
959,460023.0,0,1
960,400064.0,0,2
961,569096.0,0,1
962,570075.0,0,1
963,566037.0,0,3
964,572113.0,0,1
965,560119.0,0,5
966,500085.0,0,1
967,571423.0,0,2
968,515001.0,0,2
969,500049.0,0,2
970,570099.0,0,2
971,556016.0,0,1
972,566073.0,0,4
973,630561.0,0,1
974,641041.0,0,2
975,560868.0,0,2
976,571252.0,0,1
977,577132.0,0,3
978,506699.0,0,1
979,585401.0,0,4
980,509210.0,0,2
981,561001.0,0,1
982,569105.0,0,2
983,566066.0,0,1
984,566098.0,0,1
985,600042.0,0,1
986,560939.0,0,1
987,585331.0,0,1
988,260032.0,0,1
989,576105.0,0,1
990,580021.0,0,2
991,562147.0,0,3
992,515865.0,0,1
993,590091.0,0,5
994,570034.0,0,2
995,571130.0,0,2
996,585326.0,0,1
997,712146.0,0,1
998,221109.0,0,2
999,571607.0,0,1
1000,500001.0,0,2
1001,540068.0,0,1
1002,570051.0,0,1
1003,560826.0,0,1
1004,571129.0,0,1
1005,562148.0,0,3
1006,562010.0,0,3
1007,560690.0,0,1
1008,600095.0,0,1
1009,650100.0,0,1
1010,500079.0,0,2
1011,566040.0,0,1
1012,571427.0,0,1
1013,583227.0,0,1
1014,600090.0,0,1
1015,584128.0,0,2
1016,500095.0,0,1
1017,500016.0,0,4
1018,516504.0,0,1
1019,400068.0,0,1
1020,566053.0,0,1
1021,570002.0,0,2
1022,500050.0,0,3
1023,851211.0,0,1
1024,110059.0,0,2
1025,560526.0,0,1
1026,570005.0,0,1
1027,635805.0,0,1
1028,600060.0,0,1
1029,573111.0,0,1
1030,585810.0,0,1
1031,565130.0,0,2
1032,577527.0,0,1
1033,605766.0,0,1
1034,624710.0,0,1
1035,560849.0,0,1
1036,576214.0,0,3
1037,560864.0,0,1
1038,572136.0,0,3
1039,540045.0,0,1
1040,540074.0,0,1
1041,526107.0,0,3
1042,566078.0,0,3
1043,562137.0,0,1
1044,577546.0,0,1
1045,585221.0,0,1
1046,591220.0,0,1
1047,590029.0,0,2
1048,517426.0,0,1
1049,550073.0,0,1
1050,562259.0,0,1
1051,570004.0,0,2
1052,650091.0,0,2
1053,577099.0,0,1
1054,583236.0,0,1
1055,566070.0,0,4
1056,560896.0,0,1
1057,533241.0,0,1
1058,110076.0,0,1
1059,556005.0,0,2
1060,590008.0,0,4
1061,577215.0,0,2
1062,411003.0,0,1
1063,500336.0,0,1
1064,650080.0,0,1
1065,577513.0,0,1
1066,581327.0,0,1
1067,571402.0,0,3
1068,600021.0,0,1
1069,560677.0,0,2
1070,460058.0,0,1
1071,460077.0,0,1
1072,566690.0,0,1
1073,581110.0,0,2
1074,411044.0,0,1
1075,505532.0,0,1
1076,526162.0,0,1
1077,515591.0,0,1
1078,560558.0,0,1
1079,570116.0,0,1
1080,650064.0,0,2
1081,303303.0,0,1
1082,360008.0,0,1
1083,562012.0,0,1
1084,110001.0,0,1
1085,562151.0,0,1
1086,574225.0,0,1
1087,626101.0,0,1
1088,415301.0,0,1
1089,260010.0,0,1
1090,500035.0,0,1
1091,573134.0,0,4
1092,577202.0,0,1
1093,585328.0,0,1
1094,573125.0,0,1
1095,530102.0,0,1
1096,580032.0,0,1
1097,566015.0,0,2
1098,600018.0,0,1
1099,570085.0,0,3
1100,550008.0,0,1
1101,760073.0,0,1
1102,585225.0,0,1
1103,574214.0,0,2
1104,550030.0,0,1
1105,573341.0,0,1
1106,560661.0,0,3
1107,500082.0,0,1
1108,788110.0,0,1
1109,733503.0,0,1
1110,460043.0,0,3
1111,576226.0,0,1
1112,600066.0,0,1
1113,641603.0,0,1
1114,500076.0,0,1
1115,570027.0,0,3
1116,396001.0,0,1
1117,673575.0,0,1
1118,590022.0,0,1
1119,574151.0,0,1
1120,577301.0,0,4
1121,571417.0,0,1
1122,500068.0,0,2
1123,565007.0,0,2
1124,502325.0,0,1
1125,563107.0,0,3
1126,576104.0,0,1
1127,561100.0,0,1
1128,577422.0,0,1
1129,570008.0,0,6
1130,560686.0,0,1
1131,456005.0,0,1
1132,533101.0,0,2
1133,637207.0,0,1
1134,400099.0,0,1
1135,580011.0,0,3
1136,584111.0,0,1
1137,565009.0,0,2
1138,516257.0,0,2
1139,500058.0,0,2
1140,500008.0,0,2
1141,574206.0,0,1
1142,860085.0,0,2
1143,562005.0,0,1
1144,585304.0,0,2
1145,622515.0,0,1
1146,560557.0,0,1
1147,571218.0,0,1
1148,517416.0,0,1
1149,382421.0,0,1
1150,590096.0,0,1
1151,570056.0,0,1
1152,530062.0,0,1
1153,585403.0,0,2
1154,526007.0,0,1
1155,565003.0,0,1
1156,570036.0,0,3
1157,569968.0,0,1
1158,574242.0,0,1
1159,560190.0,0,1
1160,569949.0,0,1
1161,566212.0,0,1
1162,585218.0,0,1
1163,605230.0,0,1
1164,556007.0,0,1
1165,506008.0,0,1
1166,650065.0,0,2
1167,573124.0,0,3
1168,460068.0,0,1
1169,566045.0,0,2
1170,562657.0,0,1
