,NIC5digitId,BENGALURU (URBAN),Activity
277,17015,81,Manufacture of other special purpose paper (excluding computer stationary)
278,17016,77,"Manufacture of paper board, straw board"
279,17017,16,Manufacture of hard board including false board and chip board
280,17019,92,Manufacture of other primary paper materials including composite paper and paper board n.e.c.
281,17021,215,Manufacture of corrugated paper and paperboard
282,17022,154,Manufacture of corrugated paper board containers
283,17023,295,Manufacture of card board boxes
284,17024,190,Manufacture of sacks and bags of paper
285,17029,164,Manufacture of other containers of paper and paperboard n.e.c.
286,17091,62,Manufacture of computer paper
287,17092,376,"Manufacture of paper cups, saucers, plates, hoops, cones and other similar products"
288,17093,402,"Manufacture of printing, writing and photocopying paper ready for use"
289,17094,12,Manufacture of paper pulp articles other than containers (such as egg trays)
290,17095,130,"Manufacture of file cover/file boards, and similar articles."
291,17096,21,Manufacture of wall paper
292,17097,255,Manufacture of carbon paper & stationary items
293,17099,661,Manufacture of other paper products n.e.c.
294,18111,86,Printing of newspapers
295,18112,1376,"Printing of magazines and other periodicals, books and brochures, maps, atlases, posters etc."
296,18113,51,"Printing of postage stams, taxation stamps, cheques and other security papers"
297,18114,10,"Printing of bank notes, currency notes"
298,18115,423,"Printing directly onto textiles, flexographic plastic, glass, metal, wood and ceramics"
299,18119,1211,Other printing activities like screen printing other than textile n.e.c.
300,18121,524,Book and other similar sheet binding on account of others
301,18122,118,"Engraving, etching and block making etc."
302,18129,1464,Other service activities related to printing n.e.c.
303,18200,220,Reproduction of recorded media
304,19101,30,Production of coke and semi-coke products
305,19109,15,"Manufacture of other coke oven products such as gas, crude coal and lignite tars etc."
306,19201,248,"Production of liquid and gaseous fuels, illuminating oils, lubricating oils or greases or other products from crude petroleum or bituminous minerals"
307,19202,54,Manufacture of paraffin wax
308,19203,22,Bottling of LPG/CNG
309,19204,10,Manufacture of hard-coal and lignite fuel briquettes
310,19209,95,"Manufacture of other petroleum n.e.c. (includes manufacture of petroleum jelly, micro-crystalline petroleum wax, slack wax, ozokerite, lignite wax, petroleum coke, petroleum bitumen and other residues of petroleum oils or of oils obtained from bituminous minerals)"
311,20111,64,"Manufacture of liquefied or compressed inorganic industrial or medical gases (elemental gases, liquid or compressed air, refrigerant gases, mixed industrial gases etc.)"
312,20112,25,Manufacture of inorganic acids except nitric acid
313,20113,45,Manufacture of tanning or dying extracts; tannings and their derivatives and colouring matter (including manufacture of indigo)
314,20114,24,Manufacture of dyes and pigments from any source in basic form or as concentrate
315,20115,10,Manufacture of turpentine and resins of vegetable origin
316,20116,281,Manufacture of basic chemical elements
317,20117,48,Manufacture of distilled water
318,20118,31,Manufacture of synthetic aromatic products
319,20119,213,Manufacture of organic and inorganic chemical compounds n.e.c.
320,20121,91,Manufacture of urea and other organic fertilizers
321,20122,16,"Manufacture of straight mixed, compound or complex inorganic fertilizers"
322,20123,16,"Manufacture of associated nitrogen products (nitric and sulphonitric acids, ammonia, ammonium chloride, ammonium carbonate, nitrites and nitrates of potassium)"
323,20129,75,Manufacture of other fertilizers n.e.c.
324,20131,105,"Manufacture of plastic in primary forms (includes amino-resins, polyurethanes etc.)"
325,20132,40,Manufacture of synthetic rubber in primary forms
326,20133,29,Manufacture of mixture of synthetic and natural or rubber like gums
327,20211,96,"Manufacture of insecticides, rodenticides, fungicides, herbicides"
328,20212,54,Manufacture of disinfectants (for agricultural and other use)
329,20213,25,"Manufacture of anti-sprouting products, plant growth regulators"
330,20219,62,Manufacture of other agrochemical products n.e.c.
331,20221,355,"Manufacture of paints and varnishes, enamels or lacquers"
332,20222,22,"Manufacture of prepared pigments, prepared opacifiers and prepared colours, vitrifiable enamels and glazes engobes and similar preparations of a kind used in the ceramic, enamelling or glass industry"
333,20223,68,Manufacture of printing ink
334,20224,52,Manufacture of prepared pigments and other colouring matter of a kind used in the manufacture of paints or by artists or other painters
335,20229,73,"Manufacture of caulking compounds and similar non-refractory filling or surfacing preparations, mastics, prepared paint or varnish removers, organic composite solvents and thinners and other related products n.e.c."
336,20231,664,Manufacture of soap all forms
337,20232,387,"Manufacture of cleaning and polishing products (preparations for perfuming or deodorizing rooms; artificial waxes and prepared waxes; polishes and creams for leather, wood, glass, metal etc.; scouring pastes and powders, including paper, wadding etc. coated or covered with these)"
338,20233,512,Manufacture of detergent and similar washing agents excluding soap
339,20234,75,Manufacture of perfumes and cologne de-eau
