,NIC5digitId,RAMANAGARA,Activity
408,23945,1,Manufacture of plasters of calcined gypsum or calcined sulphate
409,23949,2,Manufacture of other cement and plaster n.e.c.
410,23951,0,Manufacture of plaster statues and other plaster products
411,23952,19,"Manufacture of articles articles of concrete, cement or artificial stone (tiles, bricks etc.)"
412,23953,0,Manufacture of asbestos sheets
413,23954,11,Manufacture of R.C.C. bricks and blocks
414,23955,19,Manufacture of hume pipes and other pre-fabricated structural components of cement and/or concrete for building or civil engineering
415,23956,3,"Manufacture of insulation boards of vegetable fibre, straw or wood waste, agglomerated with cement & other mineral binders."
416,23959,9,Manufacture of other cement and asbestos cement products n.e.c.
417,23960,8,"Cutting, shaping and finishing of stone"
418,23991,1,Manufacture of worked mica and mica products
419,23992,0,Manufacture of gypsum boards
420,23993,3,"Manufacture of millstones, sharpening or polishing stones and natural or artificial abrasive products, including abrasive powder or grain on a base of textile material, paper, paper board or other material"
421,23994,3,Manufacture of graphite products other than electrical articles
